text,is_sarcastic
area horse hung like horse,1
kittens recovering after photographer rescued them from brush fire,0
aurora releases theater shooting response report,0
voyeur researchers recommend at least 7 hours of watching someone sleep per night,1
santa claus killed in electric-razor crash,1
candice patton of the flash talks about meeting the fans! part ii,0
"trump demands william barr prove loyalty by putting gun in mouth, pulling trigger",1
scientific american somehow makes woman feel bad about her body,1
report: some russian soldiers quit army over ukraine war,0
slower-burning flag introduced,1
report: reuben rated top midsize sandwich in its class,1
trump fascinated by israeli cultural tradition of mass slaughter of protesters,1
both parties seem to be having a change of heart about federal power,0
jeremy piven outraged microsoft word doesn't recognize his name,1
environmentalists speak out against excessive cheese logging,1
kareem abdul-jabbar speaks out against ben carson's anti-muslim comments,0
why this lawyer quit his job to open a national mustard museum,0
stressed out at work? here's how to find your center with just 3 minutes of breathing,0
physicist brings in particle from home he's been meaning to accelerate,1
copycat culture: adapting to a world of adaptations,0
area man honored to have name in hat,1
kentucky newspapers endorse alison lundergan grimes,0
bill o'reilly compares #blacklivesmatter movement to gestapo,0
the celebrity that left tom hanks and rita wilson speechless,0
man has eaten last 75 meals out of container or carton,1
restaurant reacts perfectly to diners who were rude to employee with autism,0
what's next for nba in donald sterling case from a legal standpoint?,0
30 reasons to give thanks to horses,0
"beyoncé announces $100,000 in scholarships for hbcu students",0
gender of person in ronald mcdonald costume unclear,1
john dowd resigns as trump's lead lawyer in russia probe,0
flu can't wait to get the fuck out of area man's body,1
arkansas plans to execute 2 convicted killers on monday,0
it might be time to break up with your tampon,0
study: average american now requires 3 attempts to get up from seated position,1
"'we will not repeat the mistakes of the 2016 election,' vows nation still using internet",1
global surveys show strong support for hillary clinton,0
historian has big news for grover cleveland fans,1
"if you want to understand the price of milk, think of it like gasoline",0
"instead of arresting panhandlers, albuquerque's giving them jobs",0
blind dog who was kept in a pantry now lives like a king,0
man who has never seen horseshoe crab before understandably freaking the fuck out,1
why some vaccines require more than one dose,0
area woman thinks she could live in city she's visiting,1
successories poster shoplifted,1
